shipment-date,sku,asin,fulfillment-center-id,original-fulfillment-center-id,quantity,replacement-reason-code,replacement-amazon-order-id,original-amazon-order-id,,,
2025-11-01T04:00:00+04:00,INLIN90700059,B0CHVZ596W,DEL4,DEL4,1,0,407-4573729-7538767,408-8856132-7535527,,,
2025-11-01T04:00:00+04:00,ZP-2HDH-3HB5,B0CL6JHS4T,BLR8,BLR8,1,0,405-2594892-8117907,171-9287225-2228343,,,
2025-11-01T04:00:00+04:00,1.3603,B0001P15CG,MAA4,MAA4,1,5,405-4995786-9595500,404-7715135-4917113,,,
2025-11-01T04:00:00+04:00,BERG-BGIN-6298,B0CW37WHT9,BLR8,BLR8,1,2,408-6787702-9217118,405-4580755-6379543,,,
2025-11-01T04:00:00+04:00,pana-Rice &amp; Pasta Cookers-450 W,B09QGWFL57,BLR8,BLR8,1,2,408-8775888-7569961,403-5613589-6319547,,,
2025-11-01T04:00:00+04:00,NP-IZ65-E9D6,B085GDJV3R,LDX1,LDX1,1,2,408-7928053-1739558,403-6300669-9805111,,,
2025-11-01T04:00:00+04:00,INLSIN91500025,B0B9YGBCJG,DEL4,DEL4,1,2,405-7236571-8245155,405-2933386-5637113,,,
2025-11-01T04:00:00+04:00,Tasty Fry CDW 5.5,B0FKGLDCV5,DEL5,DEL5,1,0,406-6476646-3084315,403-3096353-8821135,,,
2025-11-01T04:00:00+04:00,04-ZLNL-EPRH,B0BBRRRXBY,IDX2,IDX2,1,2,408-2726514-7764354,171-1878003-2687519,,,
2025-11-01T04:00:00+04:00,98050001,B0D28RFBHJ,BOM5,BOM5,1,2,408-5211570-2649911,403-8068136-2317141,,,
2025-11-01T04:00:00+04:00,IN-IN90200122,B0DXFHQSTL,BLR7,BLR7,1,0,404-9244277-6666759,404-7923359-5305133,,,
2025-11-01T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,QWTT,QWTT,1,2,408-6918066-5428303,407-4869940-1334720,,,
2025-11-01T04:00:00+04:00,USH403811533N,B07QY3L2BT,QWTT,QWTT,1,10,171-1767689-5813938,408-8210118-5176337,,,
2025-11-01T04:00:00+04:00,T3-XRS8-6KMU,B0FP96CNQR,QWTT,QWTT,1,2,408-6308326-5565101,405-5082508-4353122,,,
2025-11-01T04:00:00+04:00,Wood Touch up Marker,B0FP9BSDLN,QWTT,QWTT,1,2,408-8398376-7821120,408-0438324-7332357,,,
2025-10-31T04:00:00+04:00,INLIN91500030,B0C7QT1433,DEL4,DEL4,1,0,406-9869919-7837933,404-4669613-5462703,,,
2025-10-31T04:00:00+04:00,INLIN90000024,B0CDXCNR8Q,DED4,DED4,1,2,408-0727590-4278740,171-7471328-3691512,,,
2025-10-31T04:00:00+04:00,DYSN-BP02,B0CKLGCXCS,DED4,DED4,1,0,408-0413894-9133124,408-2845272-2546713,,,
2025-10-31T04:00:00+04:00,NP-IZ65-E9D6,B085GDJV3R,BOM5,BOM5,1,0,408-5902630-7477129,171-7737218-7993103,,,
2025-10-31T04:00:00+04:00,LI-FXQV-WVV3,B073X41CSH,DED4,DED4,1,3,408-8900117-3023547,171-0259759-2445964,,,
2025-10-31T04:00:00+04:00,INLIN00000023,B0CKR1G5ZQ,DED4,DED4,1,0,408-3001323-3988350,407-4114807-5657160,,,
2025-10-31T04:00:00+04:00,6.7736.L4,B01080WAOA,BLR8,BLR8,1,0,408-1874071-2953914,404-6653527-6572321,,,
2025-10-31T04:00:00+04:00,INLIN91500030,B0C7QT1433,HYD8,HYD8,1,0,405-1991583-5769955,408-8957470-6457154,,,
2025-10-31T04:00:00+04:00,LI-FXQV-WVV3,B073X41CSH,DEL5,DEL5,1,0,403-7520026-3704328,408-5336989-0189908,,,
2025-10-31T04:00:00+04:00,BERG-BGIN-6259,B0CW37G5G1,DEL5,DEL5,1,2,408-6378151-8796314,405-5830712-8619535,,,
2025-10-31T04:00:00+04:00,6.7703,B000WLDOXM,BLR7,BLR7,1,2,408-5842110-4593907,407-6145357-6777937,,,
2025-10-31T04:00:00+04:00,INLIN90000024,B0CDXCNR8Q,BLR7,BLR7,1,10,408-0047284-7612309,402-4709068-3689111,,,
2025-10-31T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,BOM5,BOM5,1,0,408-4098417-3449134,406-7858785-4371555,,,
2025-10-31T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,DED4,DED4,1,2,408-8599164-0133917,408-3668054-4304351,,,
2025-10-31T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,DED4,DED4,1,2,408-3056245-5402735,407-1622193-3943513,,,
2025-10-31T04:00:00+04:00,INLIN91500030,B0C7QT1433,DEL4,DEL4,1,0,402-5511340-2717961,403-7026937-3657138,,,
2025-10-31T04:00:00+04:00,INLIN00000023,B0CKR1G5ZQ,DED4,DED4,1,0,408-7462083-1043555,171-5647164-4542710,,,
2025-10-31T04:00:00+04:00,ZY-H7FS-F5WY,B007PZKMSI,DEL5,DEL5,1,2,403-7026420-5891567,403-8454846-0813132,,,
2025-10-31T04:00:00+04:00,INLIN90000024,B0CDXCNR8Q,DEX3,DEX3,1,2,408-8724046-2017120,404-2913092-1048325,,,
2025-10-31T04:00:00+04:00,inal-IN90200079,B0979BT98Q,BLR8,BLR8,1,2,408-6548714-7031564,404-9610030-9319563,,,
2025-10-31T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,BLR8,BLR8,1,10,408-0043041-0193130,402-4771744-9722755,,,
2025-10-31T04:00:00+04:00,INLIN91500030,B0C7QT1433,BOM5,BOM5,1,10,171-1571309-4181917,406-8308553-7725958,,,
2025-10-31T04:00:00+04:00,INLIN00000023,B0CKR1G5ZQ,DED4,DED4,1,0,408-6526317-4221956,407-9866875-5383542,,,
2025-10-31T04:00:00+04:00,INLIN91500030,B0C7QT1433,LKO1,LKO1,1,0,408-2419426-0005149,171-6410765-4674755,,,
2025-10-31T04:00:00+04:00,7.8714,B0045OL2GI,BLR7,BLR7,1,0,408-2353150-0977955,407-0352120-6989156,,,
2025-10-31T04:00:00+04:00,500022,B0D9B3FXDD,QWTT,QWTT,1,0,171-9256218-8956359,171-2965315-8851508,,,
